subscription_id,customer_id,plan_name,plan_status,start_date,end_date,monthly_price,created_at
1,35,Standard Reading Plan,active,2023-07-20,,8.99,2023-07-20 00:00:00
2,31,Standard Reading Plan,paused,2023-05-11,,8.99,2023-05-11 00:00:00
3,17,Premium Reading Plan,active,2023-06-22,,12.99,2023-06-22 00:00:00
4,3,Premium Reading Plan,cancelled,2023-08-20,2024-09-20,12.99,2023-08-20 00:00:00
5,42,Premium Reading Plan,active,2023-12-15,,12.99,2023-12-15 00:00:00
6,13,Family Reading Plan,expired,2023-01-24,2023-08-22,18.99,2023-01-24 00:00:00
7,19,Standard Reading Plan,expired,2023-05-21,2023-07-19,8.99,2023-05-21 00:00:00
8,23,Family Reading Plan,expired,2023-06-17,2024-08-03,18.99,2023-06-17 00:00:00
9,4,Family Reading Plan,active,2023-01-05,,18.99,2023-01-05 00:00:00
10,22,Standard Reading Plan,expired,2023-01-05,2023-03-10,8.99,2023-01-05 00:00:00
11,18,Standard Reading Plan,cancelled,2023-06-13,2024-04-28,8.99,2023-06-13 00:00:00
12,8,Premium Reading Plan,paused,2023-03-22,,12.99,2023-03-22 00:00:00
13,24,Standard Reading Plan,cancelled,2023-06-15,2024-08-08,8.99,2023-06-15 00:00:00
14,28,Premium Reading Plan,paused,2023-03-17,,12.99,2023-03-17 00:00:00
15,26,Standard Reading Plan,expired,2023-06-21,2023-12-10,8.99,2023-06-21 00:00:00
16,29,Standard Reading Plan,active,2023-01-24,,8.99,2023-01-24 00:00:00
17,25,Standard Reading Plan,expired,2023-09-13,2024-07-26,8.99,2023-09-13 00:00:00
18,41,Standard Reading Plan,cancelled,2023-05-23,2024-02-05,8.99,2023-05-23 00:00:00
19,12,Premium Reading Plan,paused,2023-05-23,,12.99,2023-05-23 00:00:00
20,16,Standard Reading Plan,active,2023-02-05,,8.99,2023-02-05 00:00:00
21,43,Standard Reading Plan,expired,2023-03-23,2023-12-05,8.99,2023-03-23 00:00:00
22,49,Standard Reading Plan,cancelled,2023-11-12,2024-12-09,8.99,2023-11-12 00:00:00
23,32,Premium Reading Plan,paused,2023-09-10,,12.99,2023-09-10 00:00:00
24,36,Family Reading Plan,active,2023-12-23,,18.99,2023-12-23 00:00:00
25,48,Standard Reading Plan,active,2023-06-17,,8.99,2023-06-17 00:00:00
26,9,Standard Reading Plan,active,2023-04-26,,8.99,2023-04-26 00:00:00
27,47,Premium Reading Plan,active,2023-08-01,,12.99,2023-08-01 00:00:00
28,14,Premium Reading Plan,paused,2023-10-12,,12.99,2023-10-12 00:00:00
